Renewable,LC,Main,LS,Bmode
55,7,1.000000,5,-1
56,0,1.000000,0,1
56,1,1.800000,1,1
56,2,2.000000,2,0
56,3,1.800000,3,-1
56,4,1.200000,4,0
56,5,2.000000,5,0
56,6,0.200000,4,-1
56,7,1.000000,5,-1
57,0,1.000000,0,1
57,1,1.800000,1,1
57,2,2.000000,2,0
57,3,1.800000,3,-1
57,4,1.200000,4,0
57,5,2.000000,5,0
57,6,0.200000,4,-1
57,7,1.000000,5,-1
58,0,1.000000,0,1
58,1,1.800000,1,1
58,2,2.000000,2,0
58,3,1.800000,3,-1
58,4,1.200000,4,0
58,5,2.000000,5,0
58,6,0.200000,4,-1
58,7,1.000000,5,-1
59,0,1.000000,0,1
59,1,1.800000,1,1
59,2,2.000000,2,0
59,3,1.800000,3,-1
59,4,1.200000,4,0
59,5,2.000000,5,0
59,6,0.200000,4,-1
59,7,1.000000,5,-1
60,0,1.000000,0,1
60,1,1.800000,1,1
60,2,2.000000,2,0
60,3,1.800000,3,-1
60,4,1.200000,4,0
60,5,2.000000,5,0
60,6,0.200000,4,-1
60,7,1.000000,5,-1
61,0,1.000000,0,1
61,1,1.800000,1,1
61,2,2.000000,2,0
61,3,1.800000,3,-1
61,4,1.200000,4,0
61,5,2.000000,5,0
61,6,0.200000,4,-1
61,7,1.000000,5,-1
62,0,1.000000,0,1
62,1,1.800000,1,1
62,2,2.000000,2,0
62,3,1.800000,3,-1
62,4,1.200000,4,0
62,5,2.000000,5,0
62,6,0.200000,4,-1
62,7,1.000000,5,-1
63,0,1.000000,0,1
63,1,1.800000,1,1
63,2,2.000000,2,0
63,3,1.800000,3,-1
63,4,1.200000,4,0
63,5,2.000000,5,0
63,6,0.200000,4,-1
63,7,1.000000,5,-1
64,0,1.000000,0,1
64,1,1.800000,1,1
64,2,2.000000,2,0
64,3,1.800000,3,-1
64,4,1.200000,4,0
64,5,2.000000,5,0
64,6,0.200000,4,-1
64,7,1.000000,5,-1
65,0,1.000000,0,1
65,1,1.800000,1,1
65,2,2.000000,2,0
65,3,1.800000,3,-1
65,4,1.200000,4,0
65,5,2.000000,5,0
65,6,0.200000,4,-1
65,7,1.000000,5,-1
66,0,1.000000,0,1
66,1,1.800000,1,1
66,2,2.000000,2,0
66,3,1.800000,3,-1
66,4,1.200000,4,0
66,5,2.000000,5,0
66,6,0.200000,4,-1
66,7,1.000000,5,-1
67,0,1.000000,0,1
67,1,1.800000,1,1
67,2,2.000000,2,0
67,3,1.800000,3,-1
67,4,1.200000,4,0
67,5,2.000000,5,0
67,6,0.200000,4,-1
67,7,1.000000,5,-1
68,0,1.000000,0,1
68,1,1.800000,1,1
68,2,2.000000,2,0
68,3,1.800000,3,-1
68,4,1.200000,4,0
68,5,2.000000,5,0
68,6,0.200000,4,-1
68,7,1.000000,5,-1
69,0,1.000000,0,1
69,1,1.800000,1,1
69,2,2.000000,2,0
69,3,1.800000,3,-1
69,4,1.200000,4,0
69,5,2.000000,5,0
69,6,0.200000,4,-1
69,7,1.000000,5,-1
70,0,1.000000,0,1
70,1,1.800000,1,1
70,2,2.000000,2,0
70,3,1.800000,3,-1
70,4,1.200000,4,0
70,5,2.000000,5,0
70,6,0.200000,4,-1
70,7,1.000000,5,-1
71,0,1.000000,0,1
71,1,1.800000,1,1
71,2,2.000000,2,0
71,3,1.800000,3,-1
71,4,1.200000,4,0
71,5,2.000000,5,0
71,6,0.200000,4,-1
71,7,1.000000,5,-1
72,0,1.000000,0,1
72,1,1.800000,1,1
72,2,2.000000,2,0
72,3,1.800000,3,-1
72,4,1.200000,4,0
72,5,2.000000,5,0
72,6,0.200000,4,-1
72,7,1.000000,5,-1
73,0,1.000000,0,1
73,1,1.800000,1,1
73,2,2.000000,2,0
73,3,1.800000,3,-1
73,4,1.200000,4,0
73,5,2.000000,5,0
73,6,0.200000,4,-1
73,7,1.000000,5,-1
74,0,1.000000,0,1
74,1,1.800000,1,1
74,2,2.000000,2,0
74,3,1.800000,3,-1
74,4,1.200000,4,0
74,5,2.000000,5,0
74,6,0.200000,4,-1
74,7,1.000000,5,-1
75,0,1.000000,0,1
75,1,1.800000,1,1
75,2,2.000000,2,0
75,3,1.800000,3,-1
75,4,1.200000,4,0
75,5,2.000000,5,0
75,6,0.200000,4,-1
75,7,1.000000,5,-1
76,0,1.000000,0,1
76,1,1.800000,1,1
76,2,2.000000,2,0
76,3,1.800000,3,-1
76,4,1.200000,4,0
76,5,2.000000,5,0
76,6,0.200000,4,-1
76,7,1.000000,5,-1
77,0,1.000000,0,1
77,1,1.800000,1,1
77,2,2.000000,2,0
77,3,1.800000,3,-1
77,4,1.200000,4,0
77,5,2.000000,5,0
77,6,0.200000,4,-1
77,7,1.000000,5,-1
78,0,1.000000,0,1
78,1,1.800000,1,1
78,2,2.000000,2,0
78,3,1.800000,3,-1
78,4,1.200000,4,0
78,5,2.000000,5,0
78,6,0.200000,4,-1
78,7,1.000000,5,-1
79,0,1.000000,0,1
79,1,1.800000,1,1
79,2,2.000000,2,0
79,3,1.800000,3,-1
79,4,1.200000,4,0
79,5,2.000000,5,0
79,6,0.200000,4,-1
79,7,1.000000,5,-1
80,0,1.000000,0,1
80,1,1.800000,1,1
80,2,2.000000,2,0
80,3,1.800000,3,-1
80,4,1.200000,4,0
80,5,2.000000,5,0
80,6,0.200000,4,-1
80,7,1.000000,5,-1
81,0,1.000000,0,1
81,1,1.800000,1,1
81,2,2.000000,2,0
81,3,1.800000,3,-1
81,4,1.200000,4,0
81,5,2.000000,5,0
81,6,0.200000,4,-1
81,7,1.000000,5,-1
82,0,1.000000,0,1
82,1,1.800000,1,1
82,2,2.000000,2,0
82,3,1.800000,3,-1
82,4,1.200000,4,0
82,5,2.000000,5,0
82,6,0.200000,4,-1
82,7,1.000000,5,-1
83,0,1.000000,0,1
83,1,1.800000,1,1
83,2,2.000000,2,0
83,3,1.800000,3,-1
83,4,1.200000,4,0
83,5,2.000000,5,0
83,6,0.200000,4,-1
83,7,1.000000,5,-1
84,0,1.000000,0,1
84,1,1.800000,1,1
84,2,2.000000,2,0
84,3,1.800000,3,-1
84,4,1.200000,4,0
84,5,2.000000,5,0
84,6,0.200000,4,-1
84,7,1.000000,5,-1
85,0,1.000000,0,1
85,1,1.800000,1,1
85,2,2.000000,2,0
85,3,1.800000,3,-1
85,4,1.200000,4,0
85,5,2.000000,5,0
85,6,0.200000,4,-1
85,7,1.000000,5,-1
86,0,1.000000,0,1
86,1,1.800000,1,1
86,2,2.000000,2,0
86,3,1.800000,3,-1
86,4,1.200000,4,0
86,5,2.000000,5,0
86,6,0.200000,4,-1
86,7,1.000000,5,-1
87,0,1.000000,0,1
87,1,1.800000,1,1
87,2,2.000000,2,0
87,3,1.800000,3,-1
87,4,1.200000,4,0
87,5,2.000000,5,0
87,6,0.200000,4,-1
87,7,1.000000,5,-1
88,0,1.000000,0,1
88,1,1.800000,1,1
88,2,2.000000,2,0
88,3,1.800000,3,-1
88,4,1.200000,4,0
88,5,2.000000,5,0
88,6,0.200000,4,-1
88,7,1.000000,5,-1
89,0,1.000000,0,1
89,1,1.800000,1,1
89,2,2.000000,2,0
89,3,1.800000,3,-1
89,4,1.200000,4,0
89,5,2.000000,5,0
89,6,0.200000,4,-1
89,7,1.000000,5,-1
90,0,1.000000,0,1
90,1,1.800000,1,1
90,2,2.000000,2,0
90,3,1.800000,3,-1
90,4,1.200000,4,0
90,5,2.000000,5,0
90,6,0.200000,4,-1
